trade_date,stock_code,stock_name,board,market,industry,concepts,open,high,low,close,pre_close,pct_change,turnover_amount,turnover_rate,volume,volume_ratio,amplitude,market_cap,float_market_cap,limit_up_status,first_limit_up_time,last_limit_up_time,limit_up_break_count,consecutive_limit_up_count,tail_rise_pct,tail_volume_ratio,close_position_pct,above_vwap_most_day,stepwise_rise_after_1430,break_intraday_high,break_key_resistance,tail_pullback_holds,ma5,ma10,ma20,ma_alignment_up,pullback_to_ma10_or_ma20,close_above_ma5,recent_volume_rank_low,close_gt_open,kdj_low_turn_up,rsi_low_turn_up,theme_limit_up_count,theme_rank,theme_tail_reflow,theme_leader_auction,manual_note,data_source,captured_at,vwap_price,above_intraday_vwap,vwap_signal_source,real_board_limit_up_count,real_theme_limit_up_count,real_tail_volume_confirmed,tail_signal_source,tail_volume_confirmed
2026-06-18,600162,香江控股,沪主板,SH,,,3.3,3.58,3.1,3.58,3.25,10.15,900302502,2.0,264590637,1.35,14.77,0,0,是,,,0,1,3.55,1.35,100.0,是,是,是,是,是,3.53,3.47,3.37,是,否,是,否,是,否,否,0,99,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:15,3.40,是,成交额/成交量推算,0,0,否,非分钟级数据，尾盘量未确认,否
2026-06-18,000889,中嘉博创,深主板,SZ,I 信息技术,科技,4.02,4.02,3.91,4.02,3.65,10.14,173378989,0.8,43184780,1.35,3.01,0,0,是,,,0,1,3.55,1.35,100.0,是,是,是,是,是,3.96,3.9,3.78,是,否,是,否,否,否,否,9,1,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:50,4.01,是,成交额/成交量推算,9,9,否,非分钟级数据，尾盘量未确认,否
2026-06-18,603313,梦百合,沪主板,SH,家居用品,,5.01,5.56,4.94,5.56,5.05,10.1,106702027,0.8,19994654,1.35,12.28,0,0,是,,,0,1,3.53,1.35,100.0,是,是,是,是,是,5.48,5.39,5.23,是,否,是,否,是,否,否,2,5,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:36,5.34,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否
2026-06-18,600399,抚顺特钢,沪主板,SH,特钢Ⅱ,,4.21,4.69,4.19,4.69,4.26,10.09,330005302,2.0,72206017,1.35,11.74,0,0,是,,,0,1,3.53,1.35,100.0,是,是,是,是,是,4.62,4.55,4.41,是,否,是,否,是,否,否,1,13,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:18,4.57,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否
2026-06-18,000679,大连友谊,深主板,SZ,一般零售,,7.35,8.09,7.2,8.09,7.35,10.07,234184317,0.8,30177465,1.35,12.11,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,7.97,7.85,7.6,是,否,是,否,是,否,否,1,14,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:49,7.76,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否
2026-06-18,603616,韩建河山,沪主板,SH,,,5.91,6.46,5.9,6.46,5.87,10.05,337839193,2.0,53926072,1.35,9.54,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,6.36,6.27,6.07,是,否,是,否,是,否,否,0,99,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:38,6.26,是,成交额/成交量推算,0,0,否,非分钟级数据，尾盘量未确认,否
2026-06-18,002141,贤丰控股,深主板,SZ,动物保健Ⅱ,,4.6,4.71,4.46,4.71,4.28,10.05,242223251,0.8,52386150,1.35,5.84,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,4.64,4.57,4.43,是,否,是,否,是,否,否,1,15,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:56,4.62,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否
2026-06-18,000839,国安股份,深主板,SZ,I 信息技术,,2.58,2.85,2.57,2.85,2.59,10.04,222914155,0.8,80423134,1.35,10.81,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,2.81,2.76,2.68,是,否,是,否,是,否,否,3,3,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:50,2.77,是,成交额/成交量推算,3,3,否,非分钟级数据，尾盘量未确认,否
2026-06-18,002283,天润工业,深主板,SZ,汽车零部件,,10.09,11.07,9.98,11.07,10.06,10.04,460489214,2.0,42137900,1.35,10.83,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,10.9,10.74,10.41,是,否,是,否,是,否,否,3,4,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:59,10.93,是,成交额/成交量推算,3,3,否,非分钟级数据，尾盘量未确认,否
2026-06-18,002442,龙星科技,深主板,SZ,C 制造业,,4.98,5.48,4.97,5.48,4.98,10.04,201362940,0.8,38214648,1.35,10.24,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,5.4,5.32,5.15,是,否,是,否,是,否,否,9,2,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:26:02,5.27,是,成交额/成交量推算,9,9,否,非分钟级数据，尾盘量未确认,否
2026-06-18,600226,亨通股份,沪主板,SH,电力,电力,8.87,9.76,8.87,9.76,8.87,10.03,2048131311,3.8,216672797,1.8,10.03,0,0,是,,,0,1,3.51,1.8,100.0,是,是,是,是,是,9.61,9.47,9.17,是,否,是,否,是,否,否,1,16,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:17,9.45,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否
2026-06-18,002167,东方锆业,深主板,SZ,C 制造业,,16.13,16.13,16.13,16.13,14.66,10.03,404925874,2.0,25103898,1.35,0.0,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,15.89,15.65,15.16,是,否,是,否,否,否,否,9,2,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:25:58,16.13,是,成交额/成交量推算,9,9,否,非分钟级数据，尾盘量未确认,否
2026-06-18,002579,中京电子,深主板,SZ,元件,,19.01,20.32,18.98,20.32,18.47,10.02,1342818098,3.8,66967511,1.8,7.26,0,0,是,,,0,1,3.51,1.8,100.0,是,是,是,是,是,20.02,19.71,19.1,是,否,是,否,是,否,否,2,6,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-18 11:26:04,20.05,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否
