stock_code,stock_name,board,market,industry,concepts,first_seen,last_seen,data_source
000001,平安银行,深主板,SZ,银行Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000002,万 科Ａ,深主板,SZ,K 房地产,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
000003,PT金田A,深主板,SZ,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
000006,深振业Ａ,深主板,SZ,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000007,全新好,深主板,SZ,K 房地产,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
000008,神州高铁,深主板,SZ,轨交设备Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000009,中国宝安,深主板,SZ,综合Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000011,深物业A,深主板,SZ,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000012,南  玻Ａ,深主板,SZ,玻璃玻纤,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000014,沙河股份,深主板,SZ,房地产开发,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000015,PT中浩A,深主板,SZ,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
000017,深中华A,深主板,SZ,饰品,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000019,深粮控股,深主板,SZ,农产品加工,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000020,深华发Ａ,深主板,SZ,光学光电子,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000021,深科技,深主板,SZ,消费电子,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
000024,招商地产,深主板,SZ,-,,2026-06-17 10:05:32,2026-06-17 10:05:32,eastmoney_push2_snapshot
