trade_date,stock_code,stock_name,board,market,industry,concepts,open,high,low,close,pre_close,pct_change,turnover_amount,turnover_rate,volume,volume_ratio,amplitude,market_cap,float_market_cap,limit_up_status,first_limit_up_time,last_limit_up_time,limit_up_break_count,consecutive_limit_up_count,tail_rise_pct,tail_volume_ratio,close_position_pct,above_vwap_most_day,stepwise_rise_after_1430,break_intraday_high,break_key_resistance,tail_pullback_holds,ma5,ma10,ma20,ma_alignment_up,pullback_to_ma10_or_ma20,close_above_ma5,recent_volume_rank_low,close_gt_open,kdj_low_turn_up,rsi_low_turn_up,theme_limit_up_count,theme_rank,theme_tail_reflow,theme_leader_auction,manual_note,data_source,captured_at,vwap_price,above_intraday_vwap,vwap_signal_source,real_board_limit_up_count,real_theme_limit_up_count,real_tail_volume_confirmed,tail_signal_source,tail_volume_confirmed,universe,universe_eligible,exclude_reason,theme_tags,is_focus_theme,matched_strategies,primary_strategy,candidate_score,score_reasons,pool_raw_level,pool_rank,pool_cap_note,pool_level,entry_reasons,risk_tags,premarket_layer,premarket_detail,intraday_layer,intraday_detail,tail_execution_layer,tail_execution_detail,workflow_summary,buy_point,sell_point,stop_point,first_take_profit_point,strong_follow_rule,defensive_stop_point,moving_take_profit_rule,point_basis,next_day_valid_if,next_day_weak_if,next_day_remove_if
2026-06-17,600876,凯盛新能,沪主板,SH,玻璃玻纤,,8.61,9.42,8.6,9.42,8.56,10.05,66955997,0.8,7191100,1.35,9.58,0,0,是,,,0,1,3.52,1.35,100.0,是,是,是,是,是,9.28,9.14,8.85,是,否,是,否,是,否,否,6,3,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:53:44,9.31,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,-11.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,600110,诺德股份,沪主板,SH,电池,,17.22,17.22,17.22,17.22,15.65,10.03,228282716,0.8,13256836,1.35,0.0,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,16.96,16.7,16.19,是,否,是,否,否,否,否,1,13,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:53:30,17.22,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,601636,旗滨集团,沪主板,SH,玻璃玻纤,,8.67,8.67,8.67,8.67,7.88,10.03,437329392,2.0,50441683,1.35,0.0,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,8.54,8.41,8.15,是,否,是,否,否,否,否,6,3,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:53:48,8.67,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,001282,三联锻造,深主板,SZ,汽车零部件,,18.91,21.18,18.86,21.18,19.25,10.03,250871208,0.8,12208677,1.35,12.05,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,20.86,20.54,19.91,是,否,是,否,是,否,否,2,6,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:54:13,20.55,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,002141,贤丰控股,深主板,SZ,动物保健Ⅱ,,3.97,4.28,3.9,4.28,3.89,10.03,672699797,2.0,162764594,1.35,9.77,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,4.22,4.15,4.02,是,否,是,否,是,否,否,1,14,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:54:16,4.13,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,600676,交运股份,沪主板,SH,汽车服务,,6.55,7.03,6.55,7.03,6.39,10.02,122777028,0.8,17730582,1.35,7.51,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,6.92,6.82,6.61,是,否,是,否,是,否,否,1,15,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:53:40,6.92,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,002828,贝肯能源,深主板,SZ,油服工程,,8.82,9.77,8.76,9.77,8.88,10.02,196122326,0.8,20894470,1.35,11.37,0,0,是,,,0,1,3.51,1.35,100.0,是,是,是,是,是,9.62,9.48,9.18,是,否,是,否,是,否,否,1,16,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:54:30,9.39,是,成交额/成交量推算,1,1,否,非分钟级数据，尾盘量未确认,否,深主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,600192,长城电工,沪主板,SH,电网设备,电力,7.9,8.35,7.86,8.35,7.59,10.01,235392256,0.8,28440589,1.35,6.46,0,0,是,,,0,1,3.5,1.35,100.0,是,是,是,是,是,8.22,8.1,7.85,是,否,是,否,是,否,否,2,7,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:53:32,8.28,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,电力,是,S1,S1,19.05,命中主题：电力；策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足；底层防御：评分 19.05 低于C池最低要求 45，不推荐,C,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位；底层防御：评分 19.05 低于C池最低要求 45，不推荐,接近涨停；流动性不足；高涨幅A池确认不足；底层防御：评分 19.05 低于C池最低要求 45，不推荐,通过,命中重点主题：电力,通过,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：通过；盘中验证：通过；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,603976,正川股份,沪主板,SH,医疗器械,,24.9,27.7,24.9,27.7,25.18,10.01,145296502,0.8,5420680,1.35,11.12,0,0,是,,,0,1,3.5,1.35,100.0,是,是,是,是,是,27.28,26.87,26.04,是,否,是,否,是,否,否,2,9,否,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:54:02,26.80,是,成交额/成交量推算,2,2,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,-8.95,策略信号：S1；接近涨停扣分；量比温和放大；换手偏低扣分；成交额超过1亿；收盘接近全天高位；风险扣分：接近涨停;流动性不足;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；流动性不足；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
2026-06-17,605006,山东玻纤,沪主板,SH,玻璃玻纤,,24.6,26.38,24.48,26.38,23.98,10.01,971817025,2.0,38086833,1.35,7.92,0,0,是,,,0,1,3.5,1.35,100.0,是,是,是,是,是,25.98,25.59,24.8,是,否,是,否,是,否,否,6,3,是,,新浪行情本地股票池快照；股票池来自历史成功采集，尾盘字段为日线快照近似值,sina_hq_universe_snapshot,2026-06-17 12:54:02,25.52,是,成交额/成交量推算,6,6,否,非分钟级数据，尾盘量未确认,否,沪主板,是,,,否,S1,S1,20.05,策略信号：S1；接近涨停扣分；量比温和放大；换手处于活跃区间；成交额超过3亿；收盘接近全天高位；风险扣分：接近涨停;高涨幅A池确认不足,,,,,攻击型尾盘突破：尾盘阶梯推升、突破压力、收盘接近高位,接近涨停；高涨幅A池确认不足,未命中,未命中当前重点主题，暂不进入主线优先级,不足,量能承接；分时强于均价线；板块联动；收盘位置强；形态命中；高涨幅需板块涨停和真实尾盘量确认,不执行,未进入候选池,盘前主题：未命中；盘中验证：不足；尾盘执行：不执行,,,,,,,,,,,
